organization;top 3 repo;stars_count;languages;ros_repos;name_parts
aica-technology;['control-libraries', 'docker-images', 'kuka-iiwa-description', 'modulo', 'franka_panda_description'];19;['Python', 'Shell', 'C#', 'CSS', 'HTML', 'JavaScript', 'CMake', 'Dockerfile', 'Batchfile', 'Kit', 'Cython', 'C++', 'C', 'Emacs Lisp', 'Makefile'];['ethercat-driver-ros2', 'realsense-ros', 'xarm-ros2'];['docker', 'images', 'franka', 'panda', 'description', 'serial', 'network', 'interfaces', 'kuka', 'iiwa', 'description', 'universal', 'robots', 'description', 'movement', 'primitives', 'mecademic', 'description', 'component', 'sdk', 'stag', 'archive', 'api', 'control', 'libraries', 'modulo', 'franka', 'lightweight', 'interface', '.github', 'kuka', 'experimental', 'ethercat', 'driver', 'ros2', 'simulators', 'component', 'template', 'stag', 'realsense', 'ros', 'urdf', 'loaders', 'xarm', 'ros2', 'isaac', 'lab']
aidrivers;['CLRNet-onnxruntime-and-tensorrt-demo'];0;['Python'];[];['CLRNet', 'onnxruntime', 'and', 'tensorrt', 'demo']
airbound;['PX4-Autopilot'];0;['Python', 'Shell', 'MATLAB', 'Nix', 'HTML', 'Jinja', 'CMake', 'EmberScript', 'Dockerfile', 'GDB', 'Perl', 'C++', 'Groovy', 'C', 'Makefile'];[];['PX4', 'Autopilot']
airbus;['scikit-decide', 'discrete-optimization', 'decomon', 'ED247_LIBRARY', 'Airobas'];249;['Python', 'Shell', 'Nix', 'Nushell', 'Jupyter Notebook', 'CMake', 'C++', 'C', 'Makefile'];[];['ED247', 'LIBRARY', 'scikit', 'decide', 'decomon', 'discrete', 'optimization', 'a653lib', 'Airobas']
airvolute;['DroneCore.Suite_documentation', 'DroneCore.Suite', 'STM_Jetson_I2C_driver', 'dcs-deploy', 'ae-powerboard-control'];5;['MATLAB', 'Nasal', 'Jinja', 'CMake', 'Dockerfile', 'Gnuplot', 'PowerShell', 'C++', 'C', 'Kotlin', 'HTML', 'JavaScript', 'Emacs Lisp', 'Makefile', 'Python', 'Shell', 'Roff', 'NASL', 'OpenEdge ABL', 'Batchfile', 'Objective-C', 'PHP', 'Lua', 'Assembly', 'CSS'];[];['DroneCore.Suite', 'documentation', 'Drone', 'Core.', 'Suite', 'ae', 'powerboard', 'control', 'STM', 'Jetson', 'I2C', 'driver', 'kernel', 'sources', 'xaviernx', 'dcs', 'deploy', 'linux', 'jetson', 'ardupilot', 'airvolute', 'doodle', 'setup', 'mavlink', 'serial', 'sys', 'id', 'set']
AivotRobotics;['moveit', 'grid-mapping-in-ROS', 'Universal_Robots_ROS_Driver', 'universal_robot', 'moveit2'];0;['CMake', 'Dockerfile', 'EmberScript', 'GDB', 'C++', 'C', 'C#', 'TypeScript', 'TeX', 'HTML', 'JavaScript', 'LiveScript', 'Emacs Lisp', 'Makefile', 'Python', 'Shell', 'NASL', 'Batchfile', 'Prolog', 'Nearley', 'CSS'];['grid-mapping-in-ROS', 'Universal_Robots_ROS_Driver', 'realsense-ros', 'Universal_Robots_ROS2_Driver', 'stella_vslam_ros', 'm-explore-ros2'];['moveit', 'grid', 'mapping', 'in', 'ROS', 'Universal', 'Robots', 'ROS', 'Driver', 'universal', 'robot', 'moveit2', 'realsense', 'ros', 'robotiq', 'Universal', 'Robots', 'ROS2', 'Driver', 'moveit', 'msgs', 'foxglove', 'studio', 'fanuc', 'rclcpp', 'Nebula', 'SDK', 'rosdistro', 'stella', 'vslam', 'ros', '3rdparty', 'm', 'explore', 'ros2']
aliasrobotics;['RVD', 'aztarna', 'RSF', 'RCTF', 'RVSS'];457;['CMake', 'Dockerfile', 'GDB', 'C++', 'C', 'Ruby', 'HTML', 'JavaScript', 'Awk', 'Python', 'Shell', 'Makefile', 'Go', 'M4', 'Roff', 'Batchfile', 'Lex', 'Objective-C', 'Perl', 'CSS'];['hypothesis-ros', 'ros_volatility', 'ros2_fuzzer', 'ros2_documentation'];['rp', 'peda', 'hackbox', 'Infosec', 'Reference', 'RSF', 'RVSS', 'cvss', 'RVD', 'aztarna', 'rctf', 'scenario1', 'rctf', 'scenario2', 'rctf', 'scenario3', 'rctf', 'scenario4', 'RCTF', 'rctf', 'scenario6', 'hypothesis', 'ros', 'ros', 'volatility', 'rctf', 'scenario5', 'tensorboard', 'logger', 'tcpdump', 'design', 'ros1', 'fuzzer', 'ros2', 'fuzzer', 'udpreplay', 'MARA', 'threat', 'model', 'conpot', 'ros2', 'documentation', 'fwanalyzer', 'flawfinder', 'secure', 'development', 'and', 'deployment']
AMP-Robotics;['ros-system-monitor', 'framos_librealsense2', 'ngx-c3', 'ros3djs', 'abseil-cpp'];2;['Python', 'Shell', 'HCL', 'Ruby', 'Go', 'C', 'TypeScript', 'HTML', 'JavaScript', 'CMake', 'EmberScript', 'NASL', 'C++', 'CSS', 'Starlark', 'Makefile'];['ros-system-monitor', 'realsense-ros'];['ngx', 'c3', 'ros3djs', 'abseil', 'cpp', 'ros', 'system', 'monitor', 'realsense', 'ros', 'framos', 'librealsense2', 'terraform', 'google', 'bigquery', 'node', 'influx', 'query', 'string']
analogdevicesinc;['hdl', 'no-OS', 'libiio', 'linux', 'iio-oscilloscope'];4172;['MATLAB', 'Rust', 'Yacc', 'M', 'CMake', 'Dockerfile', 'Scheme', 'SmPL', 'PowerShell', 'C++', 'GDB', 'C', 'CartoCSS', 'Stata', 'Scilab', 'C#', 'Mathematica', 'UnrealScript', 'Verilog', 'HTML', 'VHDL', 'ASL', 'JavaScript', 'QMake', 'Fortran', 'SystemVerilog', 'Groff', 'Awk', 'Python', 'Shell', 'Makefile', 'Java', 'M4', 'Clojure', 'sed', 'Roff', 'Tcl', 'XS', 'Batchfile', 'Lex', 'XSLT', 'Objective-C', 'Gherkin', 'Perl 6', 'QML', 'Inno Setup', 'NSIS', 'Thrift', 'Coq', 'Perl', 'Assembly', 'CSS', 'Cython'];[];['linux', 'iio', 'oscilloscope', 'sigmadsp', 'genfirmware', 'sigma', 'tcp', 'fpgahdl', 'xilinx', 'fmcomms1', 'eeprom', 'cal', 'no', 'OS', 'fru', 'tools', 'linux_image_ADI', 'scripts', 'fmcomms2', 'scripts', 'iio', 'fm', 'radio', 'libiio', 'hdl', 'MathWorks', 'tools', 'gnuradio', 'jesd', 'eye', 'scan', 'gtk', 'contiki', 'Pixelpulse2', 'libsmu', 'colorimeter', 'm1k', 'fw', 'm1k', 'cad', 'MOTIF', 'MathWorks', 'iio', 'osc', 'mingw', 'arduino', 'diagnostic', 'report', 'BOSSA', 'Pixelpulse2', 'Trayer', 'u', 'boot', 'xlnx', 'ad936x', 'filter', 'wizard']
Angel-Robotics;[];0;[];[];[]
angsa-robotics;['rviz_satellite', 'ffmpeg_image_transport', 'planner_playground', 'rqt_runtime_monitor', 'rqt_robot_monitor'];3;['Python', 'Shell', 'Cuda', 'Ruby', 'GLSL', 'CSS', 'Objective-C++', 'HTML', 'Jupyter Notebook', 'JavaScript', 'CMake', 'Dockerfile', 'Batchfile', 'EmberScript', 'C++', 'C', 'Makefile'];['launch_ros', 'ros2_controllers', 'ros2_control'];['rqt', 'runtime', 'monitor', 'rqt', 'robot', 'monitor', 'robot', 'localization', 'grid', 'map', 'rviz', 'satellite', 'Open3', 'D', 'job', 'widget', 'nmea', 'navsat', 'driver', 'teb', 'local', 'planner', 'rosbag2', 'launch', 'rclpy', 'foxglove', 'py', 'data', 'platform', 'navigation.ros.org', 'diagnostics', 'ffmpeg', 'image', 'transport', 'image', 'common', 'planner', 'playground', 'costmap', 'converter', 'launch', 'ros', 'ntrip', 'client', 'ublox', 'opennav', 'coverage', 'ros2', 'controllers', 'cartesian', 'controllers', 'ros2', 'control', 'jetson', 'containers', 'linux', 'camera', 'tool', 'ros2cli']
ANYbotics;['grid_map', 'elevation_mapping', 'kindr', 'point_cloud_io', 'rqt_multiplot_plugin'];5122;['MATLAB', 'Python', 'Shell', 'Objective-C', 'QML', 'Prolog', 'CSS', 'HTML', 'Jupyter Notebook', 'JavaScript', 'CMake', 'QMake', 'Roff', 'Dockerfile', 'C++', 'C', 'Makefile'];['kindr_ros', 'pointmatcher-ros', 'navigation_ros', 'gazebo_ros_pkgs'];['kindr', 'elevation', 'mapping', 'point', 'cloud', 'io', 'grid', 'map', 'kindr', 'ros', 'pointmatcher', 'ros', 'variant', 'rqt', 'multiplot', 'plugin', 'grid_map', 'release', 'variant', 'release', 'rqt_multiplot_plugin', 'release', 'media', 'package', 'siitool', 'linuxdeployqt', 'libuvc', 'libnabo', 'libpointmatcher', 'ar', 'track', 'alvar', 'gazebo2rviz', 'pysdf', 'navigation', 'ros', 'gazebo', 'ros', 'pkgs', 'gnome', 'shell', 'ping', 'monitor', 'applet', 'nmea', 'navsat', 'driver', 'anymal', 'b', 'simple', 'description', 'curves', 'message', 'logger', 'any', 'node', 'signal', 'logger', 'roco']
ApexAI;['performance_test', 'static_exception', 'ROS2_clion_style', 'apex_rostest', 'Autoware'];122;['Cuda', 'Nix', 'CMake', 'Dockerfile', 'EmberScript', 'C++', 'C', 'HTML', 'TeX', 'JavaScript', 'QMake', 'Makefile', 'Python', 'Shell', 'Java', 'M4', 'Roff', 'Batchfile', 'XSLT', 'Objective-C', 'GLSL', 'NSIS', 'Thrift', 'Perl', 'CSS'];['ROS2_clion_style'];['Fast', 'RTPS', 'Fast', 'CDR', 'mxnet', 'ssd', 'Autoware', 'rmw', 'fastrtps', 'performance', 'test', 'static', 'exception', 'rclcpp', 'rcl', 'rcutils', 'ROS2', 'clion', 'style', 'colcon', 'mixin', 'repository', 'ament', 'lint', 'build', 'colcon', 'rosidl', 'typesupport', 'marge', 'bot', 'asio', 'ament', 'cmake', 'apex', 'rostest', 'experiments', 'osrf', 'testing', 'tools', 'cpp', 'ament', 'index', 'colcon', 'test', 'result', 'class', 'loader', 'colcon', 'defaults', 'rcl', 'interfaces', 'velodyne', 'driver', 'laser', 'geometry', 'rviz', 'lttng', 'ust']
apolloauto;['apollo', 'apollo-platform', 'apollo-kernel', 'apollo-contrib', 'Apollo-1000-questions'];26536;['MATLAB', 'Cuda', 'M', 'CMake', 'EmberScript', 'Dockerfile', 'C++', 'MDX', 'C', 'Elixir', 'TypeScript', 'HTML', 'TeX', 'JavaScript', 'Awk', 'Python', 'Shell', 'Makefile', 'Smarty', 'Roff', 'Batchfile', 'Less', 'Objective-C', 'Common Lisp', 'Vim Script', 'SCSS', 'GLSL', 'Handlebars', 'Assembly', 'CSS', 'Starlark'];[];['apollo', 'kernel', 'apollo', 'platform', 'apollo', 'apollo', 'contrib', 'application', 'demo', 'application', 'urban', 'pnc', 'competition', 'application', 'pnc', 'application', 'perception', 'application', 'core', 'application', 'core', 'arm', 'apollo', 'model', 'yolox', 'apollo', 'model', 'yolo3d', 'apollo', 'model', 'centerpoint', 'apollo', 'model', 'radar4d', 'Apollo', '1000', 'questions']
apple;['turicreate', 'darwin-xnu', 'swift-protobuf', 'coremltools', 'cups'];39380;['MATLAB', 'Cuda', 'Rust', 'OCaml', 'M', 'Yacc', 'LLVM', 'CMake', 'Dockerfile', 'Pawn', 'TSQL', 'SmPL', 'C++', 'C', 'Forth', 'Mercury', 'C#', 'RenderScript', 'Ruby', 'Mathematica', 'Logos', 'HTML', 'SQLPL', 'JavaScript', 'Fortran', 'Emacs Lisp', 'Makefile', 'Python', 'Shell', 'Cool', 'DTrace', 'Awk', 'Go', 'D', 'M4', 'Objective-C++', 'DIGITAL Command Language', 'Roff', 'Batchfile', 'Lex', 'Objective-C', 'Vim Script', 'Swift', 'Mustache', 'SCSS', 'AppleScript', 'PLpgSQL', 'Lua', 'Perl', 'PostScript', 'Assembly', 'CSS', 'PLSQL', 'Cython'];[];['cups', 'swift', 'lldb', 'swift', 'llvm', 'swift', 'clang', 'example', 'package', 'playingcard', 'example', 'package', 'fisheryates', 'example', 'package', 'deckofplayingcards', 'example', 'package', 'dealer', 'swift', '3', 'api', 'guidelines', 'review', 'swift', 'internals', 'fstools', 'swift', 'compiler', 'rt', 'swift', 'xcode', 'playground', 'support', 'ccs', 'caldavclientlibrary', 'ccs', 'caldavtester', 'ccs', 'calendarserver', 'ccs', 'pyosxframeworks', 'ccs', 'pycalendar', 'ccs', 'pykerberos', 'ccs', 'pyopendirectory', 'ccs', 'pysecuretransport', 'ccs', 'twistedextensions', 'swift', 'protobuf', 'swift', 'protobuf', 'plugin', 'swift', 'protobuf', 'test', 'conformance', 'darwin', 'xnu', 'darwin', 'libpthread', 'darwin', 'libplatform', 'coremltools', 'turicreate']
Apptronik-Public;[];0;[];[];[]
Aptiv-WLL;['dbc-interface', 'search-trie', 'messaging-libraries', 'remote-logging', 'conversions'];46;['Python', 'Smalltalk', 'C#'];[];['messaging', 'libraries', 'dbc', 'interface', 'remote', 'logging', 'search', 'trie', 'conversions', 'generic', 'messaging']
arav-jp;['rosboard', 'OpenConstructionSimulator', 'OcsVehicle', 'OcsTerrain', 'UnitySensorsROS'];15;['Python', 'Shell', 'Cuda', 'C#', 'CSS', 'HTML', 'JavaScript', 'CMake', 'Dockerfile', 'ShaderLab', 'Lua', 'Fortran', 'C++', 'C'];['ros2_control', 'ros2_controllers', 'mcl_ros', 'UnitySensorsROS', 'UnitySensorsROSAssets'];['vrviz', 'nmea', 'navsat', 'driver', 'urg', 'node', 'nmea', 'gps', 'plugin', 'quaternion', 'operation', 'trac', 'ik', 'asana', 'discord', 'ros2', 'control', 'ros2', 'controllers', 'velodyne', 'rosboard', 'mcl', 'ros', 'ndt', 'mapping', 'SC', 'LeGO', 'LOAM', 'Open', 'Construction', 'Simulator', 'Ocs', 'Vehicle', 'Ocs', 'Terrain', 'Ocs', 'System', 'pointcloud', 'to', 'laserscan', '3D', 'LIDAR', 'Multi', 'Object', 'Tracking', 'urdf', 'loaders', 'rslidar', 'sdk', 'Unity', 'Sensors', 'ROS', 'Unity', 'Sensors', 'Unity', 'Sensors', 'ROS', 'Assets', 'Fast', 'SCNN', 'pytorch', 'GANav', 'offroad', 'eigen', 'github', 'actions', 'report', 'lcov', 'libcosim']
ArcheRobotics;[];0;[];[];[]
ARM-software;['arm-trusted-firmware', 'CMSIS_5', 'astc-encoder', 'optimized-routines', 'CMSIS_4'];6807;['Rust', 'Yacc', 'BitBake', 'Jinja', 'CMake', 'Dockerfile', 'SWIG', 'Gnuplot', 'GDB', 'C++', 'C', 'FreeMarker', 'Scilab', 'UnrealScript', 'HTML', 'JavaScript', 'Groff', 'Emacs Lisp', 'Awk', 'Python', 'Shell', 'Makefile', 'Java', 'M4', 'Julia', 'Roff', 'Batchfile', 'Lex', 'XSLT', 'Objective-C', 'ASP', 'SourcePawn', 'Vim Script', 'Handlebars', 'Jupyter Notebook', 'Perl', 'Assembly', 'CSS'];[];['arm', 'trusted', 'firmware', 'tf', 'issues', 'linux', 'gator', 'caiman', 'cmsis', 'pack', 'eclipse', 'workload', 'automation', 'astc', 'encoder', 'nomali', 'model', 'CMSIS', '4', 'trappy', 'bart', 'daq', 'server', 'devlib', 'optimized', 'routines', 'lisa', 'CMSIS', '5', 'NXP', 'LPC', 'NXP', 'Kinetis', 'NXP', 'iMX', 'mbed', 'beetle', 'meabo', 'iot', 'platform', 'sw', 'bm', 'plotter', 'workload', 'automation', 'assets', 'odp', 'example', 'sisu', 'sbsa', 'acs', 'arm', 'enterprise', 'acs', 'vulkan', 'sdk', 'CSAL']
arminstitute;['industrial_payload_manager', 'motoman_experimental'];4;['Python', 'Shell', 'C++', 'CMake'];[];['industrial', 'payload', 'manager', 'motoman', 'experimental']
ARTI-Robots;['mapping_dataset_styria', 'gazebo_utils', 'gazebo_worlds', 'gazebo_ros_pkgs', 'chasi'];43;['Python', 'Shell', 'Objective-C', 'GLSL', 'Meson', 'HTML', 'CMake', 'EmberScript', 'Batchfile', 'C++', 'Assembly', 'C', 'Makefile'];['gazebo_ros_pkgs', 'stage_ros', 'Livox-SDK-ROS', 'stage_ros2'];['rqt', 'launch', 'analyzer', 'vesc', 'base', 'control', 'ackermann', 'drive', 'teleop', 'rqt', 'robot', 'steering', 'scan', 'tools', 'gazebo', 'ros', 'pkgs', 'bloom', 'gazebo', 'worlds', 'stage', 'ros', 'kalman', 'bldc', 'Livox', 'SDK', 'ROS', 'base', 'control', 'vesc', 'gazebo', 'utils', 'chasi', 'tinynurbs', 'mapping', 'dataset', 'styria', 'sick', 'tim', 'etl', 'arti', 'navigation', 'arti', 'move', 'base', 'arti', 'move', 'base', 'tutorials', 'stanley', 'control', 'path', 'follower', 'pepperl', 'fuchs', 'teb', 'local', 'planner', 'elasticlient', 'can', 'fuse', 'stage', 'ros2']
Artisense-ai;['GN-Net-Benchmark', 'libartipy'];65;['Python'];[];['GN', 'Net', 'Benchmark', 'libartipy']
ascentai;['diy-gym', 'mdn_pyro', 'flatlands-gym', 'Mask_RCNN', 'Realtime_Multi-Person_Pose_Estimation'];39;['MATLAB', 'Cuda', 'Protocol Buffer', 'Rust', 'Nix', 'M', 'JSONiq', 'CMake', 'Dockerfile', 'PowerShell', 'C++', 'C', 'C#', 'HTML', 'Makefile', 'Python', 'Shell', 'Objective-C++', 'Objective-C', 'Jupyter Notebook', 'CSS'];['ROSIntegration', 'ROSIntegrationVision', 'rsync_ros'];['caffe', 'rtpose', 'Realtime_Multi', 'Person_Pose_Estimation', 'Mask', 'RCNN', 'flatlands', 'gym', 'UNIT', 'pytorch', 'nec', 'coach', 'pacmod3', 'novatel', 'gps', 'driver', 'inverse', 'rl', 'rpclib', 'ROS', 'Integration', 'ROS', 'Integration', 'Vision', 'boson_camera', '1', 'pybind11', 'mdn', 'pyro', 'tensorboard', 'X', 'diy', 'gym', 'U', 'Robo', 'Sim', 'grid', 'map', 'baselines', 'UROS', 'Bridge', 'Pangolin', 'robotiq', 'RGAN', 'ur', 'modern', 'driver', 'mk', 'Rust', 'Crate', 'rsync', 'ros', 'python', 'bluezero', 'pi', 'bluetooth']
ascento-robotics;[];0;[];[];[]
abbenterprise;[];0;[];[];[]
software-asimov;[];0;[];[];[]
