organization;description;twitter_link;repo_name;repo_stars;repo_topics;repo_languages;repo_half_year_commits;repo_last_commit_date
 ; ; ;Ocaramba;277;['chrome', 'data-driven', 'firefox', 'ie', 'mstest', 'nunit', 'parallel', 'safari', 'selenium-webdriver', 'specflow', 'test', 'test-automation', 'xunit'];('C#: 91.1515591140587%, PowerShell: 8.044425073833521%, Gherkin: 0.5635425460907093%, Dockerfile: 0.24047326601707392%',);1;2024-07-15T14:51:38Z
 ; ; ;python-forecast.io;1;[];('Python: 100.0%',);0;2015-07-13T05:25:15Z
 ; ; ;alexa-pokitdok;3;['alexa-skill', 'alexa-skills-kit', 'amazon-alexa', 'amazon-echo', 'amazon-lambda', 'aws-lambda'];('JavaScript: 98.6894532187605%, Dockerfile: 1.3105467812394989%',);0;2021-06-14T20:05:13Z
 ; ; ;generator-mario;29;[];('JavaScript: 89.36374072894789%, ApacheConf: 6.125101875680997%, HTML: 3.8556476372144926%, CSS: 0.6555097581566272%',);0;2015-12-21T12:58:38Z
 ; ; ;adop-docker-compose;767;['adop', 'docker-machine'];('Shell: 79.0527927305052%, CSS: 12.269247864092055%, HTML: 4.943453997728283%, Ruby: 3.059904192799644%, Dockerfile: 0.6746012148748086%',);0;2020-12-04T10:56:34Z
 ; ; ;adop-platform-management;60;['adop'];('Groovy: 83.26663441664101%, Shell: 16.733365583358985%',);0;2018-11-15T14:27:05Z
 ; ; ;adop-nginx;6;[];('CSS: 51.13027959547888%, Shell: 24.713180929718703%, HTML: 11.396277725843461%, JavaScript: 8.855273221721765%, Dockerfile: 3.433330500552392%, Roff: 0.47165802668479645%',);0;2018-11-12T15:48:42Z
 ; ; ;adop-ldap;0;[];('Shell: 69.75628478219151%, Dockerfile: 30.243715217808482%',);0;2018-11-01T11:22:41Z
 ; ; ;adop-gerrit;45;['adop'];('Shell: 72.08640194366411%, CSS: 27.811100144256322%, HTML: 0.10249791207956875%',);0;2017-11-15T22:38:00Z
 ; ; ;adop-sensu;3;[];('Ruby: 94.65429392843927%, Shell: 3.916768665850673%, Dockerfile: 1.4289374057100566%',);0;2018-10-29T17:40:52Z
 ; ; ;adop-sonar;11;[];('Shell: 82.39161336176261%, Dockerfile: 17.608386638237384%',);0;2018-11-15T11:20:35Z
 ; ; ;adop-jenkins;153;['adop'];('Groovy: 71.33016032064128%, Shell: 22.499164996659985%, Dockerfile: 3.285738142952572%, Ruby: 2.884936539746159%',);0;2018-11-15T13:02:03Z
 ; ; ;adop-jenkins-worker;4;[];('Dockerfile: 100.0%',);0;2021-03-30T19:15:14Z
 ; ; ;adop-nexus;7;[];('Shell: 49.51256092988376%, Groovy: 28.921384826896638%, Dockerfile: 21.566054243219597%',);0;2019-11-11T19:20:06Z
 ; ; ;adop-logstash;1;[];('%',);0;2016-02-03T16:48:01Z
 ; ; ;tldr;15;[];('Shell: 84.63829911509593%, HCL: 15.361700884904062%',);0;2016-05-18T06:27:50Z
 ; ; ;tldr-promdash;0;[];('Shell: 100.0%',);0;2016-01-15T15:53:31Z
 ; ; ;tldr-prometheus;0;[];('Shell: 100.0%',);0;2016-01-15T15:19:47Z
 ; ; ;tldr-logstash;0;[];('%',);0;2016-02-25T09:40:27Z
 ; ; ;tldr-todo-client;0;[];('JavaScript: 65.08467023172905%, HTML: 15.524732620320856%, CSS: 8.517156862745098%, Nginx: 7.046568627450981%, Shell: 3.8268716577540105%',);0;2016-12-14T12:56:30Z
 ; ; ;tldr-kibana;0;[];('%',);0;2016-01-14T10:53:03Z
 ; ; ;tldr-elasticsearch;0;[];('%',);0;2016-01-14T10:52:44Z
 ; ; ;tldr-logspout;0;[];('%',);0;2016-01-14T10:51:41Z
accerion;;;;;;;;
 ; ; ;gazebo_ros_2d_map_plugin;0;[];('C++: 97.20418808871543%, CMake: 2.7958119112845723%',);0;2022-05-23T14:08:14Z
 ; ; ;librover;0;[];('C++: 97.53471126538341%, Python: 1.6974334700746818%, CMake: 0.7678552645419164%',);0;2022-08-09T12:21:04Z
 ; ; ;pepperl_fuchs;0;[];('C++: 91.5275746624929%, CMake: 8.4724253375071%',);0;2022-06-03T11:30:23Z
 ; ; ;jackal;0;[];('CMake: 44.76452905811623%, Batchfile: 25.501002004008015%, Python: 22.970941883767534%, Shell: 6.763527054108216%',);0;2022-11-17T02:32:23Z
Accio-Robotics;;;;;;;;
Active8Robots;;;;;;;;
 ; ; ;AR10;5;[];('Python: 69.37263178090076%, CMake: 30.62736821909924%',);0;2021-10-14T15:57:28Z
 ; ; ;moveit.ros.org;0;[];('PHP: 60.97947317909488%, CSS: 35.925197767486935%, HTML: 2.12722342834248%, JavaScript: 0.9554335976444938%, Ruby: 0.012672027431212322%',);0;2016-10-19T09:50:43Z
adastec;Automated Bus Platform Solutions;;;;;;;
addverbtech;;;;;;;;
adinkratech;;;;;;;;
adlatusrobotics;;;;;;;;
 ; ; ;navigation2;0;[];('C++: 84.21841082602943%, Python: 10.638632676388374%, CMake: 3.050873469919021%, C: 1.4255703191912774%, Dockerfile: 0.33188432931415024%, Shell: 0.20789213018646668%, Jupyter Notebook: 0.12673624897128485%',);0;2022-10-14T20:06:22Z
 ; ; ;carebt_ros2;0;[];('Python: 99.41943883515783%, CMake: 0.5805611648421724%',);0;2023-06-12T10:03:36Z
 ; ; ;stage_ros;0;[];('C++: 90.18059013766063%, Python: 4.802381156807189%, CMake: 3.966686700437881%, Shell: 1.0503420050943018%',);0;2017-05-01T03:27:10Z
 ; ; ;sick_scan2;0;[];('C++: 96.14285714285714%, Python: 2.249119218092965%, Shell: 0.9082850323900443%, CMake: 0.6997386066598477%',);0;2022-03-04T07:30:18Z
adlink;;;;;;;;
 ; ; ;meta-adlink-x86-64bit;11;['adlink', 'boot', 'bsp', 'com-express', 'computer-on-module', 'elkhart-lake', 'hardware-support', 'intel', 'qseven', 'smarc', 'tiger-lake', 'x86', 'yocto', 'yocto-image'];('NASL: 36.080273270708794%, BitBake: 33.461428978081415%, Shell: 30.45829775120979%',);0;2024-02-14T07:48:16Z
 ; ; ;meta-adlink-sema;3;['adlink', 'monitoring-tool', 'sema'];('BitBake: 77.77390090718772%, Makefile: 22.226099092812284%',);0;2024-05-16T11:46:36Z
 ; ; ;meta-adlink-nxp;12;['adlink', 'ai', 'arm', 'devkit', 'edge', 'embedded', 'imx6', 'imx8', 'imx8mp', 'iot', 'lec-imx95', 'nxp', 'osm-imx93', 'smarc', 'yocto'];('%',);4;2024-11-12T15:51:58Z
 ; ; ;meta-adlink-rockchip;3;[];('%',);0;2021-03-04T09:10:22Z
 ; ; ;sema-windows;3;[];('%',);0;2024-04-02T03:24:15Z
 ; ; ;sema-linux;4;[];('%',);4;2024-08-06T07:27:29Z
 ; ; ;mraa;0;[];('%',);0;2020-07-17T09:49:58Z
 ; ; ;litebmc-fwupd;0;[];('%',);0;2021-03-16T05:58:08Z
 ; ; ;ec-fwupd;0;[];('%',);0;2024-04-19T05:24:31Z
 ; ; ;adlink-manifest;0;[];('%',);1;2024-11-14T08:46:30Z
 ; ; ;nxp-w8997-fwimage;0;[];('%',);0;2021-08-17T13:59:31Z
 ; ; ;meta-adlink-ampere;3;['adlink', 'ampere', 'ampere-altra', 'cloud', 'com-hpc', 'embedded', 'linux', 'server', 'soafee', 'yocto'];('BitBake: 100.0%',);2;2024-11-05T05:38:26Z
 ; ; ;mwifiex-adlink;0;[];('%',);0;2021-06-16T08:14:18Z
 ; ; ;u-boot-adlink;0;[];('%',);0;2021-06-17T07:06:56Z
 ; ; ;meta-adlink-demo;0;[];('BitBake: 55.93163216177179%, C: 25.074626865671643%, Shell: 18.993740972556573%',);0;2023-02-23T18:47:53Z
 ; ; ;edk2-old;0;[];('C: 82.10323689047902%, Python: 10.55092685605336%, Assembly: 3.3673336255278112%, Rich Text Format: 1.818485634463946%, C++: 1.0798566694482188%, GAP: 0.542034858961278%, Shell: 0.10710748265487562%, ASL: 0.10413700396579233%, Makefile: 0.08606765070824636%, NASL: 0.0733878486051449%, Batchfile: 0.06666552065649663%, R: 0.02674828393553055%, Perl: 0.02228367225313591%, ANTLR: 0.020219075217310273%, Roff: 0.0176119656065323%, HTML: 0.010025683205969296%, NSIS: 0.00234665275395074%, Pawn: 0.0014026554631086177%, GDB: 0.00012197004027031458%',);0;2022-08-03T10:22:43Z
 ; ; ;OpenPlatformPkg;0;[];('C: 92.22036088139627%, Objective-C: 4.331554451437049%, SourcePawn: 1.6080147454939038%, C++: 1.5307505096814875%, Assembly: 0.30931941199127816%',);0;2016-11-01T15:34:45Z
 ; ; ;eigen;0;[];('C++: 83.49807956575536%, Fortran: 9.473473236382945%, C: 2.950453846471973%, CMake: 2.3923482911231604%, Cuda: 1.1511748494791403%, Shell: 0.1892041831631348%, Python: 0.1578903872860846%, HTML: 0.13926210725703647%, XSLT: 0.048113533081161085%',);0;2021-10-23T23:43:06Z
 ; ; ;adlink_bcm560xx;1;[];('Shell: 100.0%',);0;2022-05-10T17:10:15Z
 ; ; ;edk2_aadp;0;[];('C: 70.18922137088424%, ASL: 23.957470490784843%, Shell: 5.853308138330918%',);0;2024-02-23T12:40:27Z
 ; ; ;edk2-platforms-old;0;[];('C: 90.23462968871473%, ASL: 6.983178834490429%, Assembly: 0.8315697914572083%, Python: 0.7299732541240196%, C++: 0.51108794713973%, DenizenScript: 0.4785690634649546%, NASL: 0.17376929248892012%, Shell: 0.016034251192342138%, Pawn: 0.012878195836214815%, Makefile: 0.010798991985718917%, Batchfile: 0.010595812456354497%, HTML: 0.00691487664936909%',);0;2023-01-10T07:17:34Z
 ; ; ;edk2-ampere-tools;2;[];('Shell: 62.81118765953943%, Makefile: 25.96135371778333%, Python: 11.227458622677243%',);0;2023-09-16T00:56:01Z
 ; ; ;edk2_adlink-ampere-altra;1;[];('C: 93.20291036439936%, ASL: 4.9474182088981475%, NASL: 0.9026960118346768%, Shell: 0.8640521691875735%, NSIS: 0.08292324568024233%',);2;2024-08-30T06:03:30Z
 ; ; ;sbsa-acs;0;[];('C: 95.10278470503918%, Assembly: 2.909103880815792%, Makefile: 1.1736816673855164%, Objective-C: 0.5819115782373372%, Shell: 0.13399791803815633%, BitBake: 0.09852025048400749%',);0;2022-08-30T07:09:53Z
 ; ; ;iot-plugandplay-models;0;[];('%',);0;2022-03-22T02:12:45Z
 ; ; ;ampere-openocd;1;[];('C: 89.72439644273706%, Assembly: 2.434362480966752%, HTML: 2.15300242533938%, Tcl: 1.8793170851633898%, Perl: 1.2224685745338164%, Makefile: 0.7764669396624215%, Python: 0.5476569814097335%, Pawn: 0.48802324173515804%, M4: 0.43654446444755024%, Shell: 0.2733066839383167%, GDB: 0.045050856765150846%, Haskell: 0.019403823301267307%',);0;2022-10-25T08:53:20Z
 ; ; ;imx8mp_android;0;[];('%',);4;2024-05-22T12:25:39Z
 ; ; ;mtk-lec-i1200_tools;1;[];('%',);0;2023-04-11T08:19:23Z
 ; ; ;meta-adlink-mtk;0;[];('%',);0;2023-04-11T09:20:55Z
 ; ; ;mtk_1200_android;0;[];('%',);3;2024-05-22T10:16:11Z
amd;;;;;;;;
 ; ; ;Chromium-WebCL;91;[];('C: 52.21036153290253%, C++: 27.714093233948212%, Assembly: 13.81703586159036%, JavaScript: 2.875637446147847%, Python: 1.5727579175035191%, Shell: 1.2919407826823204%, Objective-C: 0.31483012610421496%, Perl: 0.10930347692554472%, CSS: 0.09403962219545041%',);0;2014-05-22T01:44:28Z
 ; ; ;existdb-node;1;[];('JavaScript: 95.609197048922%, XQuery: 4.390802951078003%',);0;2014-04-29T04:20:29Z
 ; ; ;node-unzip;3;[];('JavaScript: 100.0%',);0;2014-05-12T00:48:19Z
 ; ; ;furious.js;78;[];('JavaScript: 62.700087974702505%, C: 32.37087737742782%, C++: 3.639919270272994%, Python: 1.1374066800853055%, HTML: 0.15170869751137817%',);0;2018-10-09T01:47:21Z
 ; ; ;OpenCL-caffe;517;[];('C++: 79.72323062524961%, Python: 8.408233337506035%, C: 3.619580703040708%, CMake: 3.3064492092729365%, Makefile: 2.873024672591904%, MATLAB: 0.9199318061243346%, Cuda: 0.7022955823005895%, Shell: 0.4472540639138754%',);0;2018-08-31T13:38:09Z
 ; ; ;convnet-benchmarks;3;[];('Python: 50.465372244365845%, Lua: 23.71848986439555%, Cuda: 11.439287889635716%, Shell: 6.766330772272149%, C: 5.021318430023189%, C++: 1.1476688644062363%, JavaScript: 0.7266432288605593%, Makefile: 0.7148887060407562%',);0;2015-10-19T21:38:26Z
 ; ; ;blis;129;[];('C: 84.61161012234831%, C++: 9.928535780220809%, Fortran: 2.561177112252586%, Makefile: 1.0890018911019386%, MATLAB: 0.585941351016086%, CMake: 0.5218084315391073%, Shell: 0.3542500382404974%, Python: 0.24375332314059572%, Assembly: 0.10311103881995617%, Emacs Lisp: 0.0008109113201092531%',);100;2024-10-10T18:15:16Z
 ; ; ;libflame;38;[];('Fortran: 60.086282407335474%, C: 32.58876420281312%, C++: 5.625521172419333%, CMake: 0.6084943639804153%, Makefile: 0.4165600481972983%, MATLAB: 0.24057109324940285%, Shell: 0.19265443184081832%, TeX: 0.0931580106208088%, M4: 0.06441032926137417%, Python: 0.05975898155491025%, BitBake: 0.006715834770921936%, Perl: 0.005738699798735666%, Batchfile: 0.005573837215750684%, PHP: 0.004847237798044401%, Meson: 0.0009493491435932953%',);100;2024-10-09T06:55:05Z
 ; ; ;amd-fftw;49;[];('C: 85.03926686979902%, Makefile: 9.417711042281415%, Shell: 2.460227428579588%, OCaml: 1.5957813901051823%, M4: 0.4415041313474008%, Fortran: 0.34514213941783506%, CMake: 0.1858664819963334%, Batchfile: 0.1796414985701952%, Perl: 0.16970281778822205%, Roff: 0.10993921936202812%, Python: 0.0552169807527771%',);9;2024-10-11T05:22:10Z
 ; ; ;win-libm;20;[];('Assembly: 53.67470989132437%, C: 36.06506211497923%, C++: 10.260227993696404%',);0;2019-07-24T05:43:36Z
 ; ; ;aocl-spack;3;[];('Shell: 69.61220597584234%, Python: 30.38779402415766%',);0;2020-06-30T18:28:47Z
 ; ; ;scalapack;9;[];('Fortran: 83.19298124734442%, C: 16.039145163698166%, CMake: 0.25406230980351624%, Makefile: 0.24572677545427055%, C++: 0.1830632782505177%, Shell: 0.0591112489138465%, Python: 0.018618680691922847%, NASL: 0.0072912958433336015%',);0;2020-09-25T09:57:19Z
 ; ; ;spack;8;[];('Python: 97.10258067938969%, Shell: 1.9994750648607849%, Prolog: 0.3930591009783155%, C: 0.19420965324036513%, CMake: 0.051968033839983066%, Dockerfile: 0.05037213137017608%, Makefile: 0.04658478233817072%, Batchfile: 0.03641382342693743%, PowerShell: 0.031676717803144495%, BitBake: 0.017706732524760915%, Lua: 0.011988730748793936%, Tcl: 0.011070113717392843%, C++: 0.01096112525604017%, Standard ML: 0.010089217565218793%, Ruby: 0.00969997306038782%, HTML: 0.009205632539252486%, M4: 0.008216951496981817%, Perl: 0.0023938537047104775%, Fortran: 0.0021836616721017527%, RouterOS Script: 0.00014402046678745962%',);100;2024-10-18T10:47:35Z
 ; ; ;rocALUTION;3;[];('C++: 97.64421084550463%, CMake: 1.3620727413621738%, Shell: 0.5333805023500278%, Groovy: 0.46033591078317415%',);0;2020-04-07T07:30:20Z
 ; ; ;aocl-libm-ose;99;[];('C: 47.53976262392585%, Assembly: 39.31485150547908%, C++: 10.915267405752298%, Python: 1.4590044507176925%, CMake: 0.42551436802196946%, Shell: 0.2892486632334918%, Batchfile: 0.0349745480371065%, Makefile: 0.02137643483250718%',);2;2024-10-11T04:15:23Z
 ; ; ;esmi_ib_library;26;[];('C: 92.77795076475972%, CMake: 6.458704862192279%, Shell: 0.7633443730479992%',);20;2024-07-22T09:13:33Z
 ; ; ;aocl-sparse;26;[];('C++: 88.47415890699835%, C: 8.420016845132606%, CMake: 2.0685925753709755%, Shell: 0.7900512207107654%, Python: 0.15439422428538582%, Awk: 0.09278622750191268%',);100;2024-10-09T16:50:57Z
 ; ; ;esmi_oob_library;20;[];('C: 97.20596503927902%, CMake: 2.7940349607209765%',);0;2023-10-05T13:23:29Z
 ; ; ;tools-and-sdks;1;[];('%',);0;2020-07-05T12:20:35Z
 ; ; ;aocl-scalapack;2;[];('Fortran: 83.33033179013391%, C: 16.02443160005056%, CMake: 0.3441511148167103%, Makefile: 0.23296351455962358%, Shell: 0.05022457999540437%, Python: 0.017897400443796656%',);34;2024-10-09T07:01:16Z
 ; ; ;firmware_binaries;46;[];('C: 100.0%',);2;2024-10-08T15:28:14Z
 ; ; ;dotnet-runtime;5;[];('C#: 82.38814413671122%, C++: 9.28481141455647%, C: 6.69084852558197%, Visual Basic .NET: 0.3879324546083532%, Assembly: 0.2923744040736059%, Python: 0.17749277040706748%, Shell: 0.15197164005300307%, Roff: 0.13165474019903864%, CMake: 0.1288804355043798%, XSLT: 0.08185962563723731%, TypeScript: 0.07399636827551126%, PowerShell: 0.04612604296437566%, Yacc: 0.02834398265348625%, Batchfile: 0.02832070889539762%, OpenEdge ABL: 0.025014380636931483%, JavaScript: 0.02226298604789114%, F#: 0.011548147841602584%, Smalltalk: 0.011076854240307807%, Perl: 0.009266955896446613%, HTML: 0.006285551120045972%, Objective-C: 0.005612430397826347%, Makefile: 0.004364920599028713%, Pawn: 0.0041729120947975075%, SourcePawn: 0.0025633862619806216%, Dockerfile: 0.002272827938342869%, Java: 0.0014193355909363548%, DTrace: 0.0005202048585279159%, CSS: 0.00040801807149131185%, ASP.NET: 0.0003067408585587536%, Objective-C++: 0.00013327863030442583%, Ruby: 1.3818793865124644e-05%',);0;2022-07-18T16:37:51Z
 ; ; ;amd_hsmp;26;['amd', 'amd-module', 'hsmp', 'in-band', 'systemmanagement'];('C: 97.12184822966972%, Makefile: 2.878151770330284%',);6;2024-07-12T15:30:13Z
 ; ; ;amd_energy;36;[];('C: 90.57591623036649%, Makefile: 9.424083769633508%',);8;2024-07-18T07:04:04Z
 ; ; ;ZenDNN;85;[];('C++: 94.94169265338994%, C: 3.155936595701203%, CMake: 1.223483316197951%, Shell: 0.322345502946603%, Makefile: 0.13440892555548364%, Assembly: 0.13017178438397514%, Batchfile: 0.09196122182484515%',);55;2024-11-15T08:49:12Z
 ; ; ;mumps-build;2;[];('CMake: 76.04533757314495%, C++: 13.901227687718206%, C: 8.634791588126342%, MATLAB: 0.596633283613893%, Fortran: 0.5048435476732941%, Python: 0.3171663197233195%',);0;2022-10-17T06:05:05Z
