organization;top 3 repo;stars_count;languages;ros_repos;name_parts
amd;['OpenCL-caffe', 'blis', 'aocl-libm-ose', 'ZenDNN', 'Chromium-WebCL'];1527;['JavaScript', 'PowerShell', 'Yacc', 'Makefile', 'Meson', 'C++', 'Lua', 'CMake', 'HTML', 'Fortran', 'Ruby', 'NASL', 'Awk', 'CSS', 'Java', 'DTrace', 'Groovy', 'SourcePawn', 'Objective-C++', 'Standard ML', 'Prolog', 'TeX', 'Perl', 'XSLT', 'Batchfile', 'F#', 'Smalltalk', 'Shell', 'MATLAB', 'Cuda', 'M4', 'OpenEdge ABL', 'Python', 'OCaml', 'Objective-C', 'Roff', 'RouterOS Script', 'ASP.NET', 'Assembly', 'PHP', 'Dockerfile', 'Go', 'Visual Basic .NET', 'BitBake', 'Pawn', 'Tcl', 'XQuery', 'C', 'TypeScript', 'C#', 'Emacs Lisp'];[];['Chromium', 'WebCL', 'existdb', 'node', 'node', 'unzip', 'furious.js', 'OpenCL', 'caffe', 'convnet', 'benchmarks', 'blis', 'libflame', 'amd', 'fftw', 'win', 'libm', 'aocl', 'spack', 'scalapack', 'spack', 'roc', 'ALUTION', 'aocl', 'libm', 'ose', 'esmi', 'ib', 'library', 'aocl', 'sparse', 'esmi', 'oob', 'library', 'tools', 'and', 'sdks', 'aocl', 'scalapack', 'firmware', 'binaries', 'dotnet', 'runtime', 'amd', 'hsmp', 'amd', 'energy', 'Zen', 'DNN', 'mumps', 'build', 'go', 'amd', 'smi', 'amd', 'smi', 'exporter', 'apml', 'modules', 'UIF']
advanced-navigation/;[];0;[];[];[]
aeolusbot;['csm', 'tensorflow-cmake', 'optitrack', 'corrade', 'imgui'];1;['Shell', 'JavaScript', 'Python', 'Makefile', 'Objective-C++', 'CSS', 'C++', 'Objective-C', 'C', 'CMake', 'GDB', 'HTML', 'Ruby', 'GLSL', 'Batchfile'];[];['tensorflow', 'cmake', 'optitrack', 'csm', 'corrade', 'imgui', 'magnum', 'integration', 'magnum', 'plugins', 'magnum', 'RBOT', 'ansible', 'role', 'nvidia', 'driver']
AeroVect;['open-autonomous-safety', 'ublox', 'phidgets_drivers', 'pure_pursuit', 'A-LOAM'];0;['JavaScript', 'Shell', 'Cuda', 'MATLAB', 'Python', 'Makefile', 'C++', 'Jupyter Notebook', 'C', 'CMake', 'Dockerfile'];['ros2_numpy', 'ros2_message_converter', 'HesaiLidar_ROS_2.0'];['open', 'autonomous', 'safety', 'ublox', 'phidgets', 'drivers', 'pure', 'pursuit', 'A', 'LOAM', 'SC', 'LeGO', 'LOAM', 'conditional', 'lane', 'detection', 'mmdetection3d', 'ros2', 'numpy', 'pandaset', 'devkit', 'ros2', 'message', 'converter', 'HesaiLidar', 'ROS', '2.0', 'Multi', 'LiCa', 'RT', 'DETR', 'patchwork', 'plusplus', 'Object', 'Detection', 'Metrics', 'direct', 'lidar', 'odometry', 'grid', 'map']
aevainc;['Doppler-ICP', 'carla', 'Open3D', 'carla-aeva'];198;['JavaScript', 'Shell', 'Cuda', 'Batchfile', 'Python', 'Objective-C++', 'Makefile', 'C++', 'C', 'CMake', 'HTML', 'C#', 'GLSL', 'Dockerfile', 'CSS'];[];['Open3', 'D', 'Doppler', 'ICP', 'carla', 'carla', 'aeva']
agco;['harvesterjs', 'dokku-registry', 'hapi-harvester', 'elastic-harvesterjs', 'harvestergs-routing'];129;['JavaScript', 'Shell', 'Groovy', 'Gherkin', 'Makefile', 'CoffeeScript', 'HTML', 'Dockerfile', 'CSS'];[];['harvesterjs', 'angular', 'oauth', 'dokku', 'registry', 'dokku', 'local', 'sandbox', 'harvest', 'mongodb', 'elastic', 'harvesterjs', 'swagger', 'ui', 'prez', 'agco', 'alm', 'agco', 'json', 'api', 'profiles', 'developer', 'agcocorp', 'website', 'agco', 'nodejs', 'recipes', 'buildstep', 'event', 'source', 'stream', 'agco', 'openam', 'login', 'docker', 'rabbitmq', 'mqtt', 'harvestergs', 'routing', 'sa', 'ddi', 'harvester', 'swagger', 'openam', 'oauth2', 'demo', 'iam', 'setup', 'module', 'passport', 'openam', 'sse', 'checkpointing', 'consumer', 'bunny', 'paws', 'hapi', 'harvester', 'dead', 'rabbit', 'harvester', 'utils', 'node', 'offworld', 'heapdumper', 'rabbit', 'stew', 'elasticsearch', 'reindexer', 'hapi', 'passport']
agilexrobotics;[];0;[];[];[]
aica-technology;['control-libraries', 'docker-images', 'kuka-iiwa-description', 'modulo', 'franka_panda_description'];19;['Shell', 'JavaScript', 'Batchfile', 'Makefile', 'Python', 'CSS', 'C++', 'Cython', 'C', 'CMake', 'HTML', 'C#', 'Jinja', 'Kit', 'Dockerfile', 'Emacs Lisp'];['ethercat-driver-ros2', 'realsense-ros', 'xarm-ros2', 'OrbbecSDK_ROS2'];['docker', 'images', 'franka', 'panda', 'description', 'serial', 'network', 'interfaces', 'kuka', 'iiwa', 'description', 'universal', 'robots', 'description', 'movement', 'primitives', 'mecademic', 'description', 'component', 'sdk', 'stag', 'archive', 'api', 'control', 'libraries', 'modulo', 'franka', 'lightweight', 'interface', '.github', 'kuka', 'experimental', 'ethercat', 'driver', 'ros2', 'simulators', 'component', 'template', 'stag', 'realsense', 'ros', 'urdf', 'loaders', 'xarm', 'ros2', 'isaac', 'lab', 'OrbbecSDK', 'ROS2']
aidrivers;['CLRNet-onnxruntime-and-tensorrt-demo'];0;['Python'];[];['CLRNet', 'onnxruntime', 'and', 'tensorrt', 'demo']
airbound;['PX4-Autopilot'];0;['Shell', 'Groovy', 'MATLAB', 'Python', 'Makefile', 'C++', 'C', 'CMake', 'EmberScript', 'HTML', 'Perl', 'Jinja', 'GDB', 'Nix', 'Dockerfile'];[];['PX4', 'Autopilot']
airbus;['scikit-decide', 'discrete-optimization', 'decomon', 'ED247_LIBRARY', 'a653lib'];272;['Shell', 'Python', 'Makefile', 'C++', 'Jupyter Notebook', 'C', 'CMake', 'Nix', 'Nushell', 'Java'];[];['ED247', 'LIBRARY', 'scikit', 'decide', 'decomon', 'discrete', 'optimization', 'a653lib', 'Airobas', 'simulationexecutionlistener', 'mqtt', 'cameo', 'plugin']
airvolute;['DroneCore.Suite_documentation', 'DroneCore.Suite', 'STM_Jetson_I2C_driver', 'dcs-deploy', 'ae-powerboard-control'];6;['JavaScript', 'PowerShell', 'Kotlin', 'Makefile', 'C++', 'Lua', 'CMake', 'HTML', 'Jinja', 'Emacs Lisp', 'NASL', 'CSS', 'Nasal', 'Shell', 'MATLAB', 'Gnuplot', 'OpenEdge ABL', 'Python', 'Objective-C', 'Roff', 'Assembly', 'PHP', 'Dockerfile', 'C', 'Batchfile'];[];['DroneCore.Suite', 'documentation', 'Drone', 'Core.', 'Suite', 'ae', 'powerboard', 'control', 'STM', 'Jetson', 'I2C', 'driver', 'kernel', 'sources', 'xaviernx', 'dcs', 'deploy', 'linux', 'jetson', 'ardupilot', 'airvolute', 'doodle', 'setup', 'mavlink', 'serial', 'sys', 'id', 'set']
AivotRobotics;['moveit', 'grid-mapping-in-ROS', 'Universal_Robots_ROS_Driver', 'universal_robot', 'moveit2'];0;['JavaScript', 'Makefile', 'C++', 'CMake', 'HTML', 'NASL', 'CSS', 'Prolog', 'TeX', 'EmberScript', 'Batchfile', 'LiveScript', 'Shell', 'Nearley', 'Python', 'GDB', 'Dockerfile', 'TypeScript', 'C', 'C#', 'Emacs Lisp'];['grid-mapping-in-ROS', 'Universal_Robots_ROS_Driver', 'realsense-ros', 'Universal_Robots_ROS2_Driver', 'stella_vslam_ros', 'm-explore-ros2'];['moveit', 'grid', 'mapping', 'in', 'ROS', 'Universal', 'Robots', 'ROS', 'Driver', 'universal', 'robot', 'moveit2', 'realsense', 'ros', 'robotiq', 'Universal', 'Robots', 'ROS2', 'Driver', 'moveit', 'msgs', 'foxglove', 'studio', 'fanuc', 'rclcpp', 'Nebula', 'SDK', 'rosdistro', 'stella', 'vslam', 'ros', '3rdparty', 'm', 'explore', 'ros2']
aliasrobotics;['RVD', 'aztarna', 'RSF', 'RCTF', 'RVSS'];466;['JavaScript', 'Makefile', 'Lex', 'C++', 'CMake', 'HTML', 'Ruby', 'Awk', 'CSS', 'Perl', 'Shell', 'M4', 'Python', 'Objective-C', 'Roff', 'GDB', 'Dockerfile', 'Go', 'C', 'Batchfile'];['hypothesis-ros', 'ros_volatility', 'ros2_fuzzer', 'ros2_documentation'];['rp', 'peda', 'hackbox', 'Infosec', 'Reference', 'RSF', 'RVSS', 'cvss', 'RVD', 'aztarna', 'rctf', 'scenario1', 'rctf', 'scenario2', 'rctf', 'scenario3', 'rctf', 'scenario4', 'RCTF', 'rctf', 'scenario6', 'hypothesis', 'ros', 'ros', 'volatility', 'rctf', 'scenario5', 'tensorboard', 'logger', 'tcpdump', 'design', 'ros1', 'fuzzer', 'ros2', 'fuzzer', 'udpreplay', 'MARA', 'threat', 'model', 'conpot', 'ros2', 'documentation', 'fwanalyzer', 'flawfinder', 'secure', 'development', 'and', 'deployment']
AMP-Robotics;['ros-system-monitor', 'framos_librealsense2', 'ngx-c3', 'ros3djs', 'abseil-cpp'];2;['JavaScript', 'Shell', 'Python', 'Makefile', 'C++', 'Starlark', 'TypeScript', 'C', 'CMake', 'HTML', 'EmberScript', 'HCL', 'Ruby', 'NASL', 'CSS', 'Go'];['ros-system-monitor', 'realsense-ros'];['ngx', 'c3', 'ros3djs', 'abseil', 'cpp', 'ros', 'system', 'monitor', 'realsense', 'ros', 'framos', 'librealsense2', 'terraform', 'google', 'bigquery', 'node', 'influx', 'query', 'string']
analogdevicesinc;['hdl', 'no-OS', 'libiio', 'linux', 'iio-oscilloscope'];4406;['PowerShell', 'JavaScript', 'Yacc', 'VHDL', 'Makefile', 'Thrift', 'C++', 'Scheme', 'CMake', 'HTML', 'Fortran', 'Rust', 'Awk', 'XS', 'CSS', 'Java', 'M', 'Cython', 'QMake', 'Perl', 'Verilog', 'CartoCSS', 'Coq', 'SmPL', 'XSLT', 'Batchfile', 'sed', 'Shell', 'MATLAB', 'M4', 'Python', 'Perl 6', 'Mathematica', 'Objective-C', 'Roff', 'GDB', 'Assembly', 'Groff', 'Dockerfile', 'NSIS', 'Gherkin', 'Stata', 'Scilab', 'Tcl', 'C', 'C#', 'ASL', 'Clojure', 'UnrealScript', 'QML', 'Lex', 'SystemVerilog', 'Inno Setup'];[];['linux', 'iio', 'oscilloscope', 'sigmadsp', 'genfirmware', 'sigma', 'tcp', 'fpgahdl', 'xilinx', 'fmcomms1', 'eeprom', 'cal', 'no', 'OS', 'fru', 'tools', 'linux_image_ADI', 'scripts', 'fmcomms2', 'scripts', 'iio', 'fm', 'radio', 'libiio', 'hdl', 'MathWorks', 'tools', 'gnuradio', 'jesd', 'eye', 'scan', 'gtk', 'contiki', 'Pixelpulse2', 'libsmu', 'colorimeter', 'm1k', 'fw', 'm1k', 'cad', 'MOTIF', 'MathWorks', 'iio', 'osc', 'mingw', 'arduino', 'diagnostic', 'report', 'BOSSA', 'Pixelpulse2', 'Trayer', 'u', 'boot', 'xlnx', 'ad936x', 'filter', 'wizard']
Angel-Robotics;[];0;[];[];[]
ANYbotics;['grid_map', 'elevation_mapping', 'kindr', 'point_cloud_io', 'rqt_multiplot_plugin'];5280;['Shell', 'JavaScript', 'MATLAB', 'Python', 'Makefile', 'C++', 'Roff', 'QMake', 'C', 'CMake', 'Prolog', 'Jupyter Notebook', 'Objective-C', 'HTML', 'QML', 'Dockerfile', 'CSS'];['kindr_ros', 'pointmatcher-ros', 'navigation_ros', 'gazebo_ros_pkgs'];['kindr', 'elevation', 'mapping', 'point', 'cloud', 'io', 'grid', 'map', 'kindr', 'ros', 'pointmatcher', 'ros', 'variant', 'rqt', 'multiplot', 'plugin', 'grid_map', 'release', 'variant', 'release', 'rqt_multiplot_plugin', 'release', 'media', 'package', 'siitool', 'linuxdeployqt', 'libuvc', 'libnabo', 'libpointmatcher', 'ar', 'track', 'alvar', 'gazebo2rviz', 'pysdf', 'navigation', 'ros', 'gazebo', 'ros', 'pkgs', 'gnome', 'shell', 'ping', 'monitor', 'applet', 'nmea', 'navsat', 'driver', 'anymal', 'b', 'simple', 'description', 'curves', 'message', 'logger', 'any', 'node', 'signal', 'logger', 'roco']
ApexAI;['performance_test', 'static_exception', 'ROS2_clion_style', 'apex_rostest', 'Autoware'];125;['JavaScript', 'Makefile', 'Thrift', 'C++', 'CMake', 'HTML', 'CSS', 'Java', 'QMake', 'TeX', 'Perl', 'EmberScript', 'XSLT', 'Nix', 'GLSL', 'Shell', 'Cuda', 'M4', 'Python', 'Objective-C', 'Roff', 'Dockerfile', 'NSIS', 'C', 'Batchfile'];['ROS2_clion_style'];['Fast', 'RTPS', 'Fast', 'CDR', 'mxnet', 'ssd', 'Autoware', 'rmw', 'fastrtps', 'performance', 'test', 'static', 'exception', 'rclcpp', 'rcl', 'rcutils', 'ROS2', 'clion', 'style', 'colcon', 'mixin', 'repository', 'ament', 'lint', 'build', 'colcon', 'rosidl', 'typesupport', 'marge', 'bot', 'asio', 'ament', 'cmake', 'apex', 'rostest', 'experiments', 'osrf', 'testing', 'tools', 'cpp', 'ament', 'index', 'colcon', 'test', 'result', 'class', 'loader', 'colcon', 'defaults', 'rcl', 'interfaces', 'velodyne', 'driver', 'laser', 'geometry', 'rviz', 'lttng', 'ust']
apolloauto;['apollo', 'apollo-platform', 'apollo-kernel', 'apollo-contrib', 'Apollo-1000-questions'];26905;['JavaScript', 'Makefile', 'MDX', 'C++', 'CMake', 'HTML', 'Less', 'Awk', 'Handlebars', 'CSS', 'SCSS', 'M', 'TeX', 'EmberScript', 'GLSL', 'Common Lisp', 'Shell', 'MATLAB', 'Cuda', 'Python', 'Objective-C', 'Roff', 'Assembly', 'Dockerfile', 'Smarty', 'Elixir', 'TypeScript', 'C', 'Starlark', 'Vim Script', 'Batchfile'];[];['apollo', 'kernel', 'apollo', 'platform', 'apollo', 'apollo', 'contrib', 'application', 'demo', 'application', 'urban', 'pnc', 'competition', 'application', 'pnc', 'application', 'perception', 'application', 'core', 'application', 'core', 'arm', 'apollo', 'model', 'yolox', 'apollo', 'model', 'yolo3d', 'apollo', 'model', 'centerpoint', 'apollo', 'model', 'radar4d', 'Apollo', '1000', 'questions', 'Apollo', 'Vision', 'Net', 'Apollo', 'Vision', 'Net', 'Deployment']
apple;['turicreate', 'darwin-xnu', 'swift-protobuf', 'coremltools', 'cups'];39744;['JavaScript', 'Yacc', 'Makefile', 'Lex', 'C++', 'Lua', 'CMake', 'HTML', 'Emacs Lisp', 'Fortran', 'Rust', 'Ruby', 'Cool', 'Awk', 'CSS', 'LLVM', 'Mercury', 'SCSS', 'DTrace', 'M', 'Objective-C++', 'D', 'Cython', 'Perl', 'SmPL', 'Shell', 'Cuda', 'MATLAB', 'Mustache', 'M4', 'Python', 'OCaml', 'RenderScript', 'Mathematica', 'Objective-C', 'Roff', 'TSQL', 'Assembly', 'PLSQL', 'Dockerfile', 'Go', 'Swift', 'SQLPL', 'Logos', 'AppleScript', 'PostScript', 'DIGITAL Command Language', 'Pawn', 'Forth', 'C', 'C#', 'PLpgSQL', 'Vim Script', 'Batchfile'];[];['cups', 'swift', 'lldb', 'swift', 'llvm', 'swift', 'clang', 'example', 'package', 'playingcard', 'example', 'package', 'fisheryates', 'example', 'package', 'deckofplayingcards', 'example', 'package', 'dealer', 'swift', '3', 'api', 'guidelines', 'review', 'swift', 'internals', 'fstools', 'swift', 'compiler', 'rt', 'swift', 'xcode', 'playground', 'support', 'ccs', 'caldavclientlibrary', 'ccs', 'caldavtester', 'ccs', 'calendarserver', 'ccs', 'pyosxframeworks', 'ccs', 'pycalendar', 'ccs', 'pykerberos', 'ccs', 'pyopendirectory', 'ccs', 'pysecuretransport', 'ccs', 'twistedextensions', 'swift', 'protobuf', 'swift', 'protobuf', 'plugin', 'swift', 'protobuf', 'test', 'conformance', 'darwin', 'xnu', 'darwin', 'libpthread', 'darwin', 'libplatform', 'coremltools', 'turicreate']
Apptronik-Public;[];0;[];[];[]
Aptiv-WLL;['dbc-interface', 'search-trie', 'messaging-libraries', 'remote-logging', 'conversions'];48;['Python', 'C#', 'Smalltalk'];[];['messaging', 'libraries', 'dbc', 'interface', 'remote', 'logging', 'search', 'trie', 'conversions', 'generic', 'messaging']
ArcheRobotics;[];0;[];[];[]
arminstitute;['industrial_payload_manager', 'motoman_experimental'];4;['Python', 'CMake', 'Shell', 'C++'];[];['industrial', 'payload', 'manager', 'motoman', 'experimental']
ARTI-Robots;['mapping_dataset_styria', 'gazebo_utils', 'gazebo_worlds', 'stanley_control_path_follower', 'gazebo_ros_pkgs'];44;['Shell', 'Python', 'Makefile', 'Meson', 'C++', 'Objective-C', 'C', 'CMake', 'EmberScript', 'Assembly', 'HTML', 'GLSL', 'Batchfile'];['gazebo_ros_pkgs', 'stage_ros', 'Livox-SDK-ROS', 'stage_ros2'];['rqt', 'launch', 'analyzer', 'vesc', 'base', 'control', 'ackermann', 'drive', 'teleop', 'rqt', 'robot', 'steering', 'scan', 'tools', 'gazebo', 'ros', 'pkgs', 'bloom', 'gazebo', 'worlds', 'stage', 'ros', 'kalman', 'bldc', 'Livox', 'SDK', 'ROS', 'base', 'control', 'vesc', 'gazebo', 'utils', 'chasi', 'tinynurbs', 'mapping', 'dataset', 'styria', 'sick', 'tim', 'etl', 'arti', 'navigation', 'arti', 'move', 'base', 'arti', 'move', 'base', 'tutorials', 'stanley', 'control', 'path', 'follower', 'pepperl', 'fuchs', 'teb', 'local', 'planner', 'elasticlient', 'can', 'fuse', 'stage', 'ros2']
Artisense-ai;['GN-Net-Benchmark', 'libartipy'];66;['Python'];[];['GN', 'Net', 'Benchmark', 'libartipy']
ascentai;['diy-gym', 'mdn_pyro', 'flatlands-gym', 'Mask_RCNN', 'Realtime_Multi-Person_Pose_Estimation'];40;['PowerShell', 'Makefile', 'C++', 'CMake', 'HTML', 'Rust', 'CSS', 'M', 'Objective-C++', 'Jupyter Notebook', 'Nix', 'Shell', 'Cuda', 'MATLAB', 'Python', 'Objective-C', 'Dockerfile', 'Protocol Buffer', 'C', 'C#', 'JSONiq'];['ROSIntegration', 'ROSIntegrationVision', 'rsync_ros'];['caffe', 'rtpose', 'Realtime_Multi', 'Person_Pose_Estimation', 'Mask', 'RCNN', 'flatlands', 'gym', 'UNIT', 'pytorch', 'nec', 'coach', 'pacmod3', 'novatel', 'gps', 'driver', 'inverse', 'rl', 'rpclib', 'ROS', 'Integration', 'ROS', 'Integration', 'Vision', 'boson_camera', '1', 'pybind11', 'mdn', 'pyro', 'tensorboard', 'X', 'diy', 'gym', 'U', 'Robo', 'Sim', 'grid', 'map', 'baselines', 'UROS', 'Bridge', 'Pangolin', 'robotiq', 'RGAN', 'ur', 'modern', 'driver', 'mk', 'Rust', 'Crate', 'rsync', 'ros', 'python', 'bluezero', 'pi', 'bluetooth']
ascento-robotics;[];0;[];[];[]
abbenterprise;[];0;[];[];[]
software-asimov;[];0;[];[];[]
asimovo-platform;['docs', 'openmeter', 'wetty', '.github', 'metering-client'];2;['JavaScript', 'Procfile', 'Makefile', 'Just', 'C++', 'CMake', 'HTML', 'Ruby', 'CSS', 'SCSS', 'HCL', 'Jupyter Notebook', 'Nix', 'Shell', 'Python', 'Dockerfile', 'Go', 'Smarty', 'TypeScript', 'C', 'Batchfile'];['synapse_ros'];['docs', 'wetty', '.github', 'metering', 'client', 'HIL', 'husarion', 'rosbot', 'b3rb', 'simulator', 'dream', 'world', 'synapse', 'msgs', 'synapse', 'ros', 'synapse', 'protobuf', 'synapse', 'tinyframe', 'electrode', 'cerebri', 'nxp', 'cup', 'vision', 'k3s', 'openmeter', 'stella', 'arm', 'moveit', 'flannel']
atlasroboticsinc;['studio', 'micro_ros_platformio'];0;['JavaScript', 'Nearley', 'Python', 'C++', 'TypeScript', 'C', 'CMake', 'Dockerfile', 'CSS'];['micro_ros_platformio'];['studio', 'micro', 'ros', 'platformio']
AUBORobotics;[];0;[];[];[]
AuroAi;['carla_apollo_bridge', 'apollo_ros_bridge', 'learning-to-drive', 'auro_lidar', 'apollo'];302;['JavaScript', 'Makefile', 'C++', 'CMake', 'HTML', 'CSS', 'Java', 'SourcePawn', 'Prolog', 'QMake', 'EmberScript', 'GLSL', 'Shell', 'Cuda', 'MATLAB', 'Python', 'GDB', 'Assembly', 'PHP', 'Dockerfile', 'Smarty', 'C', 'C#', 'ShaderLab', 'Batchfile'];['ros_dcdc_usb', 'ros-system-monitor', 'ros_canopen', 'docker-ros-gpu-base', 'apollo_ros_bridge'];['auro', 'lidar', 'but', 'velodyne', 'Autoware', 'velodyne', 'pointgrey', 'camera', 'driver', 'vectornav', 'velodyne', 'puck', 'rospack', 'rqt', 'dep', 'ackermann', 'drive', 'teleop', 'ros', 'dcdc', 'usb', 'ros', 'system', 'monitor', 'simulator', 'art', 'ros', 'canopen', 'rviz', 'satellite', 'Air', 'Sim', 'docker', 'ros', 'gpu', 'base', 'Lanelet2', 'scenario', 'runner', 'apollo', 'ros', 'bridge', 'spconv', 'carla', 'ue4', 'docker', 'apollo', 'deepo', 'docker', 'pytorch', 'docker', 'tensorflow', 'carla', 'apollo', 'bridge', 'learning', 'to', 'drive']
